Name,R,Z,Main Axis Poloidal Angle,B
55.A6.00-MSS-2010,8.28484,4.01702,41.7,-0.164694
55.A6.00-MSS-2011,9.11275,2.80482,27,-0.18064
55.A6.00-MSS-2012,9.60652,1.42237,12.3,-0.1019586
55.A6.00-MSS-2013,9.67333,-0.03945,-8.4,-0.017313508
55.A6.00-MSS-2014,9.20677,-1.42935,-23.8,0.1582631
55.A6.00-MSS-2015,8.61264,-2.77611,-23.8,0.0816494
55.A6.00-MSS-2016,8.00968,-4.08912,-30.5,0.090499856
55.A6.00-MSS-2017,7.00327,-5.14551,-56.8,0.8594307
55.A6.00-MSS-2018,5.63329,-5.64709,-83,1.184213
55.A6.00-MSS-2019,4.2076,-5.41204,-119.8,-0.6444877
55.A6.00-MSS-2020,3.3143,-4.28684,-163.3,-1.163315
